1292	1322	1387	1435	1618	1645	1940	2036	2142	2156	2283	2212	2342	2579	2615	2609	3003	2975	2961	3163	3424
1138	1059	1101	1283	1316	1455	1478	1739	1968	1891	2048	1898	2043	2346	2355	2396	2572	2719	2680	2849	3000
928	909	941	1016	1214	1291	1287	1300	1643	1765	1737	1700	1821	2022	2125	2045	2231	2253	2422	2557	2672
700	805	825	896	989	1047	1077	1099	1307	1425	1567	1351	1555	1777	1805	1831	2045	1987	2029	2311	2414
736	632	640	758	800	885	947	941	1020	1084	1330	1158	1276	1466	1513	1655	1743	1723	1840	1867	2033
520	535	535	573	687	654	706	784	871	870	976	1007	1095	1168	1264	1265	1493	1456	1644	1598	1681
451	469	474	493	506	537	575	613	741	747	803	736	894	1002	1010	1035	1222	1223	1284	1418	1510
316	333	341	404	421	427	465	511	533	581	581	580	612	794	858	851	919	943	1043	1143	1166
253	258	258	331	336	335	330	375	439	426	496	415	464	558	670	664	744	786	840	853	954
190	215	217	263	273	313	250	260	325	314	335	329	363	405	411	534	541	585	585	692	715
145	141	149	159	197	225	234	223	223	207	252	232	265	313	322	325	432	476	451	476	551
112	112	108	125	115	133	150	213	170	162	187	161	185	240	226	243	253	293	337	323	391
80	76	74	82	114	109	123	138	131	120	118	120	150	157	143	153	157	208	250	268	289
242	61	65	61	77	85	83	83	123	122	100	83	87	99	94	117	139	130	128	179	208
