1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000
500914.5199	513502.612	526318.6566	539374.252	552665.9551	566194.8399	579955.963	593956.2113	608198.4579	622695.4934	637430.4023	652361.7211	656234.5189	659605.0189	662860.9119	665640.7426	667933.4881	669959.0246	672056.6916	674018.8854	675050.9634
504802.7671	516000.1573	527349.5217	538869.766	550552.7489	562402.1711	574409.048	586580.7094	598917.534	611431.406	624104.477	636893.5698	643764.9689	650205.5584	656577.5303	662522.0429	668020.2546	673286.0749	678663.3818	683944.4975	688308.7445
510107.1303	519649.1093	529269.0924	538986.8286	548791.1709	558689.3813	568668.9208	578737.7094	588893.7547	599147.7744	609482.0836	619856.4253	629714.4976	639262.98	648822.2603	658048.0256	666909.1864	675614.0296	684511.9667	693395.3089	701430.2877
516389.7412	524191.9684	532011.707	539864.6504	547738.6753	555644.9594	563568.7094	571518.6239	579491.0213	587495.6841	595516.4178	603518.842	616044.1326	628411.2883	640892.5859	653166.0867	665187.3912	677161.5033	689444.0735	701827.3223	713478.6097
523209.4422	529400.1197	535567.1257	541719.8467	547847.0213	553962.8425	560052.1457	566124.2088	572174.5117	578212.2381	584223.874	590181.0335	604793.3142	619396.6716	634219.2039	648962.9575	663572.1736	678252.139	693364.1405	708698.9761	723438.1916
529965.557	534846.8032	539681.4626	544472.4628	549210.7224	553911.475	558561.1663	563168.9599	567730.1776	572253.5726	576729.015	581132.2191	597126.8804	613229.9828	629634.9722	646064.2003	662453.6085	679012.0114	696103.8265	713515.5553	730452.7699
535937.6975	539958.7934	543924.0587	547831.6881	551675.4597	555469.001	559202.211	562883.1048	566507.3126	570083.1875	573604.1355	577046.8999	593658.5233	610441.8527	627568.1869	644772.3194	661985.0798	679421.019	697443.1924	715829.6823	733815.5859
540202.9779	543878.8278	547498.2503	551057.0445	554551.8981	557992.5809	561373.7048	564701.1163	567971.0626	571191.4732	574358.7822	577448.2963	593946.2882	610621.1851	627633.8751	644723.1015	661817.2494	679137.6666	697040.94	715293.4681	733161.6745
541707.6091	545550.6101	549342.2955	553078.072	556757.0161	560383.9867	563958.6976	567484.0614	570957.1983	574385.5769	577767.4195	581075.9031	596822.6527	612704.2071	628880.0789	645086.5696	661251.8147	677604.1931	694489.5721	711662.2092	728419.0356
539605.6439	544063.6173	548480.8494	552853.4547	557182.0453	561466.8875	565712.3131	569917.9175	574081.9275	578211.2957	582304.2913	586333.121	600829.4675	615389.9814	630178.4367	644925.5262	659561.0403	674319.9514	689534.9654	704950.864	719892.6894
533295.518	538697.3908	544075.8919	549427.5965	554753.7215	560051.5967	565328.8732	570581.9078	575810.196	581020.1003	586207.9075	591347.808	604286.1298	617211.4831	630293.1777	643256.7897	656035.1321	668868.382	682075.7851	695397.9687	708184.5709
522880.0095	529420.9867	535964.1758	542505.5299	549046.2111	555582.8152	562124.5975	568665.3043	575205.6307	581751.3651	588295.1996	594816.5761	606078.869	617260.0379	628533.1608	639621.2028	650460.9622	661295.4216	672431.8075	683612.3238	694207.0634
509072.2902	516813.4926	524590.9097	532398.4926	540237.1731	548104.8997	556010.7221	563947.0277	571915.2814	579920.9104	587952.4411	595996.8618	605644.201	615159.6647	624716.5726	634038.3924	643066.5885	652043.6468	661267.524	670486.3493	679086.4187
